Document,Cluster
data/output/A5/IFRESI_032.txt,1
data/output/A5/IFRESI_033.txt,1
data/output/A5/IFRESI_034.txt,4
data/output/A5/IFRESI_029.txt,0
data/output/A5/IFRESI_030.txt,0
data/output/A5/IFRESI_031.txt,1
data/output/A6/IFRESI_036.txt,3
data/output/A6/IFRESI_037.txt,3
data/output/A6/IFRESI_035.txt,2
data/output/A6/IFRESI_038.txt,3
data/output/A8/IFRESI_040.txt,3
